Category,Name,Description,Price
"الحواوشي","حواوشي سادة","",105
"الحواوشي","حواوشي بالسجق","",135
"الحواوشي","حواوشي بسطرمة","",130
"الحواوشي","حواوشي أستيك","حواوشي اللحم مع اضافة شريحتين استيك جريل",240
"الحواوشي","حواوشي كبدة","حواوشي سادة ويضاف عليه شرائح الكبدة",230
"الحواوشي","حواوشي سادة بالجبنة","",130
"الحواوشي","حواوشي بالسجق والجبنة","",155
"الحواوشي","حواوشي جبنة بسطرمة","",155
"الحواوشي","حواوشي استيك بالجبنة","الحواوشي اللحم مع اضافة شريحتين استيك مع مشكل من الجبن",265
"المشويات","ميكس السعادة","قطعة (كفتة - طرب - استيك - نيفة) ، تقدم مع الارز البسمتي",320
"المشويات","وجبة الباشا - صدر","١/٨ كفتة مع ربع فرخة والارز البسمتي",220
"المشويات","وجبة الباشا - ورك","١/٨ كفتة + ١/٤ فرخة مع الارز البسمتي",195
"المشويات","ربع كباب","",360
"المشويات","ربع كفتة","",240
"المشويات","ربع سجق","",240
"المشويات","نصف فرخه","",220
"المشويات","ربع نيفة","",340
"المشويات","ربع ريش ضاني","",360
"المشويات","ربع طرب","",260
"المشويات","ربع مشكل كباب وكفتة","",310
"المشويات","ربع استيك","",280
"المشويات","موزة عضم مشوية","مع أرز وبطاطس",500
"المشويات","ضلوع مشوية","",310
"الجريل","ربع لحمة","ورقة لحمة",270
"الجريل","ربع سجق","ورقة سجق",230
"الجريل","ربع مشكل","كبد سجق او لحمة سجق",270
"الجريل","ربع كبدة","ورقة كبدة",270
"الجريل","ربع استيك","",290
"الجريل","تلت مشكل","كبدة لحمة سجق",405
"صواني الربيع","صنية الربيع - NEW","١/٤ فرخة + ١/٨ طرب + ١/٨ كفتة + ١/٨ كباب + رغيف حواوشي + أرز بسمتي + قطعتين سمبوسك جبنة",600
"صواني الربيع","صنية ضلوع ضاني","",250
"اطباق الربيع","فرد حمام ارز","الحشو (فريك - أرز) وتقدم مع البطاطس",200
"اطباق الربيع","فرد حمام فريك","",220
"اطباق الربيع","موزه مخلية","تقدم مع الأرز",380
"اطباق الربيع","رقاق باللحمة","",180
"اطباق الربيع","صنية كوارع بالحمص والنخاع","",340
"اطباق الربيع","وجبة المعلم","قطع اللحمة المحمرة في السمن البلدي ، تقدم مع البطاطس والأرز",300
"الطواجن","طاجن باور الربيع NEW","عكاوي - كوارع - شرائح لحم - نخاع (بالبصل)",410
"الطواجن","طاجن عكاوي بالبصل","",410
"الطواجن","طاجن لحم بالبامية","",270
"الطواجن","طاجن لحمة بالفريك","",270
"الطواجن","ملوخية","",70
"الطواجن","ديناميت","لحمة + سجق + ورق عنب",340
"الطواجن","طاجن لحم بالبصل","",270
"الطواجن","طاجن لحمة بالبطاطس","",270
"الطواجن","شوربة كوارع مخلية","",290
"الطواجن","طاجن كوارع بورق العنب","",380
"طاسات الزبدة","ربع لحمة","",290
"طاسات الزبدة","ربع سجق","",250
"طاسات الزبدة","ربع مشكل بالزبدة","",290
"طاسات الزبدة","طلب مخ بالزبدة","",280
"طاسات الزبدة","طلب مخ طاسة","",280
"طاسات المحمر باللية","ربع كفتة","",210
"طاسات المحمر باللية","ربع كبدة","",290
"طاسات المحمر باللية","ربع مشكل","",280
"طاسات المحمر باللية","طلب كبدة ردة بلدي","",290
"طاسات المحمر باللية","طلب مشكل كبدة ردة ومخ","",300
"المكرونات","مكرونة لحمة مفرومة","",80
"المكرونات","مكرونة باللحم الجريل","",230
"المكرونات","مكرونة بشاميل","",200
"المكرونات","مكرونة بالسجق","",210
"المكرونات","مكرونة بالكبدة","",230
"المكرونات","مكرونة كفتة","",200
"الفتة","فتة سادة","",80
"الفتة","فتة بالكبدة","",240
"الفتة","فتة بالكوارع","",330
"الفتة","فتة باللحمة الجريل","",240
"الفتة","فتة بالسجق","",220
"الفتة","فتة العمدة","قطع اللحمة المحمرة بالسمن البلدي و طشة الربيع المميزة",300
"طواجن الارز","ارز بالشعرية","",70
"طواجن الارز","ارز بالكبدة","",230
"طواجن الارز","ارز بالطشة","",80
"طواجن الارز","ارز بالسجق","",210
"طواجن الارز","ارز باللحمة","",230
"قسم المقبلات","طلب ممبار","",150
"قسم المقبلات","محشي مشكل","باذنجان - كوسه - فلفل",110
"قسم المقبلات","ورق عنب سادة","",100
"قسم المقبلات","شوربة سادة","",30
"قسم المقبلات","سلطه مشكله","باذنجان - جبنة - جرير",20
"قسم المقبلات","باذنجان","",20
"قسم المقبلات","مسقعة","",15
"قسم المقبلات","فرد سفرة","السلطات الاساسية تقدم لفرد السفرة وتضاف إلي الفاتورة تلقائيا",25
"قسم المقبلات","شوربة لسان عصفور","",40
"قسم المقبلات","باكت بطاطس","",60
"قسم المقبلات","بابا غنوج","",25
"قسم المقبلات","طماطم مخلله","",25
"قسم المقبلات","سلطة كبدة بلسان العصفور","",30
"قسم العصائر","ليمون نعناع","منعش ومرطب: يروي العطش. غني بفيتامين سي: يعزز المناعة...",60
"قسم العصائر","فراولة","",75
"قسم العصائر","مانجو","يفضل محتواه العالي من فيتامين C وفيتامين A...",95
"قسم العصائر","سفن","",25
"قسم العصائر","V cola","",30
"قسم العصائر","بيبسي","",25
"قسم العصائر","مياة صغيرة","",10
"لحوم كندوز","سن كندوز","",500
"لحوم كندوز","رقبة كندوز","",500
"لحوم كندوز","موزة كندوز","",500
"لحوم كندوز","موزة كندوز صافي","",550
"لحوم كندوز","قشرة لوحة كندوز","",510
"لحوم كندوز","انتركوت كندوز","",525
"لحوم كندوز","اوسو بكو","",510
"لحوم كندوز","تيم هوك","",510
"لحوم كندوز","ريب اى كندوز","",550
"لحوم كندوز","تيبون ستيك كندوز","",550
"لحوم كندوز","رستو كندوز","",525
"لحوم كندوز","رستو كندوز صافي","",550
"لحوم كندوز","كباب حلة كندوز عادى","",525
"لحوم كندوز","كباب حلة كندوز صافى","",550
"لحوم كندوز","وش فخدة","",525
"لحوم كندوز","وش فخدة صافى","",550
"لحوم كندوز","فلتو كندوز","",575
"لحوم كندوز","شاورما كندوز احمر","",550
"لحوم كندوز","بيكاتا كندوز صافى","",550
"لحوم كندوز","ستيك كندوز صافي","",550
"لحوم كندوز","بفتيك كندوز صافى","",550
"لحوم كندوز","مفروم كندوز ملبس","",430
"لحوم كندوز","مفروم كندوز عادى","",500
"لحوم كندوز","مفروم كندوز صافى","",550
"لحوم كندوز","دوش ملبس","",430
"لحوم كندوز","شورت ريس","",475
"لحوم كندوز","كبده كندوز مشكل","",525
"لحوم كندوز","كبده كندوز صافى","",575
"لحوم كندوز","موزة - خضار - مفروم","فريش يوميًا",490
"لحوم كندوز","استيك - بفتيك - فلتو","فريش يوميًا",520
"لحوم كندوز","كبدة كندوز","بقري فريش يوميًا",520
"لحوم ضاني","فخدة ضانى","",580
"لحوم ضاني","زند ضانى","",580
"لحوم ضاني","رقبة ضانى","",580
"لحوم ضاني","موزة ضانى صافى","",720
"لحوم ضاني","ريش ضانى بريمو","",720
"لحوم ضاني","كبدة ضانى","",500
"لحوم ضاني","نيفا ضانى","",475
"لحوم ضاني","طرب ضانى","",420
"لحوم ضاني","ليه ضانى","",420
"لحوم ضاني","كيلو اللحم الضاني","ريش - رقبة - بيت كلوة",520
"لحوم ضاني","كيلو كبدة ضاني","حسب وزن الكبدة كاملة",520
"مصنعات","سجق","",400
"مصنعات","برجر","",400
"مصنعات","كفتة شوى","",400
"مصنعات","كفتة داؤود","",400
"مصنعات","كفتة صنية","",400
"مصنعات","مفروم حواوشى","",400
"مصنعات","كفتة أرز","",400
"مصنعات","كفتة طرب","",450
"مصنعات","رول الربيع","",450
"مصنعات","ورق عنب","",250
"مصنعات","سمبوسة (١٠ قطع)","",220
"مصنعات","كبيبة","",400
"مصنعات","ممبار محشى","",440
"مصنعات","1/2 كيلو برجر","بلدي فريش مع تتبيلة الربيع المميزة",175
"مصنعات","1/2 كيلو سجق","بلدي فريش مع تتبيلة الربيع المميزة",175
"مصنعات","1/2 كيلو كفته","بلدي فريش مع تتبيلة الربيع المميزة",175
"حلويات العجل","كوارع","",450
"حلويات العجل","عكاوى","",500
"حلويات العجل","مخ","",350
"حلويات العجل","لسان","",350
"حلويات العجل","لحمة راس","",250
"حلويات العجل","فشة","",250
"حلويات العجل","طحال","",250
"حلويات العجل","كرشة","",170
"حلويات العجل","مخاصى","",450
"حلويات العجل","ممبار","",250
